date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar 10, 2024 16:48:53.163881000 EDT,40.99.227.34,192.168.4.136,443,4249,1025,0x0010
Mar 10, 2024 16:48:53.163894000 EDT,40.99.227.34,192.168.4.136,443,4249,1025,0x0010
Mar 10, 2024 16:48:53.163907000 EDT,40.99.227.34,192.168.4.136,443,4249,1025,0x0018
Mar 10, 2024 16:49:54.784711000 EDT,40.99.227.34,192.168.4.136,443,4249,1025,0x0010
Mar 10, 2024 16:49:54.784724000 EDT,40.99.227.34,192.168.4.136,443,4249,1025,0x0010
Mar 10, 2024 16:49:54.784737000 EDT,40.99.227.34,192.168.4.136,443,4249,1025,0x0018
Mar 10, 2024 16:50:54.457932000 EDT,40.99.227.34,192.168.4.136,443,4249,1024,0x0010
Mar 10, 2024 16:50:54.457944000 EDT,40.99.227.34,192.168.4.136,443,4249,1024,0x0010
Mar 10, 2024 16:50:54.457955000 EDT,40.99.227.34,192.168.4.136,443,4249,1024,0x0018
Mar 10, 2024 16:50:56.399957000 EDT,40.99.227.34,192.168.4.136,443,4249,1026,0x0010
Mar 10, 2024 16:50:56.399970000 EDT,40.99.227.34,192.168.4.136,443,4249,1026,0x0010
Mar 10, 2024 16:50:56.399982000 EDT,40.99.227.34,192.168.4.136,443,4249,1026,0x0018
Mar 10, 2024 16:51:11.677844000 EDT,40.99.227.34,192.168.4.136,443,4249,1026,0x0010
Mar 10, 2024 16:51:11.677856000 EDT,40.99.227.34,192.168.4.136,443,4249,1026,0x0010
Mar 10, 2024 16:51:11.677869000 EDT,40.99.227.34,192.168.4.136,443,4249,1026,0x0018
Mar 10, 2024 16:51:20.125738000 EDT,52.137.106.217,192.168.4.136,443,4306,1023,0x0010
Mar 10, 2024 16:51:20.125752000 EDT,52.137.106.217,192.168.4.136,443,4306,1023,0x0018
Mar 10, 2024 16:51:20.233597000 EDT,52.137.106.217,192.168.4.136,443,4306,1029,0x0010
Mar 10, 2024 16:51:20.233609000 EDT,52.137.106.217,192.168.4.136,443,4306,1029,0x0018
Mar 10, 2024 16:51:27.302272000 EDT,192.168.4.140,192.168.4.137,139,37705,64240,0x0002
Mar 10, 2024 16:51:27.303152000 EDT,192.168.4.137,192.168.4.140,37705,139,5792,0x0012
Mar 10, 2024 16:51:27.303285000 EDT,192.168.4.140,192.168.4.137,139,37705,502,0x0010
Mar 10, 2024 16:51:27.318166000 EDT,192.168.4.140,192.168.4.137,139,37705,502,0x0018
Mar 10, 2024 16:51:27.318795000 EDT,192.168.4.137,192.168.4.140,37705,139,181,0x0010
Mar 10, 2024 16:51:27.319218000 EDT,192.168.4.137,192.168.4.140,37705,139,181,0x0018
Mar 10, 2024 16:51:27.319248000 EDT,192.168.4.140,192.168.4.137,139,37705,502,0x0010
Mar 10, 2024 16:51:27.323818000 EDT,192.168.4.140,192.168.4.137,139,37705,502,0x0018
Mar 10, 2024 16:51:27.334912000 EDT,192.168.4.137,192.168.4.140,4444,49803,5840,0x0002
Mar 10, 2024 16:51:27.335006000 EDT,192.168.4.140,192.168.4.137,49803,4444,65160,0x0012
Mar 10, 2024 16:51:27.336015000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010
Mar 10, 2024 16:51:27.361174000 EDT,192.168.4.137,192.168.4.140,37705,139,215,0x0010
Mar 10, 2024 16:51:28.511345000 EDT,192.168.4.140,192.168.4.137,49803,4444,510,0x0018
Mar 10, 2024 16:51:28.512211000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010
Mar 10, 2024 16:51:28.512366000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0018
Mar 10, 2024 16:51:28.512417000 EDT,192.168.4.140,192.168.4.137,49803,4444,510,0x0010
Mar 10, 2024 16:51:33.518005000 EDT,192.168.4.140,192.168.4.137,139,37705,502,0x0011
Mar 10, 2024 16:51:33.555774000 EDT,192.168.4.137,192.168.4.140,37705,139,215,0x0010
Mar 10, 2024 16:51:34.413600000 EDT,192.168.4.140,192.168.4.137,49803,4444,510,0x0018
Mar 10, 2024 16:51:34.454760000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010
Mar 10, 2024 16:51:44.538348000 EDT,192.168.4.140,192.168.4.137,49803,4444,510,0x0018
Mar 10, 2024 16:51:44.539512000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010
Mar 10, 2024 16:51:44.541208000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0018
Mar 10, 2024 16:51:44.541315000 EDT,192.168.4.140,192.168.4.137,49803,4444,510,0x0010
Mar 10, 2024 16:51:57.466499000 EDT,40.99.227.34,192.168.4.136,443,4249,1025,0x0010
Mar 10, 2024 16:51:57.466509000 EDT,40.99.227.34,192.168.4.136,443,4249,1025,0x0010
Mar 10, 2024 16:51:57.466679000 EDT,40.99.227.34,192.168.4.136,443,4249,1025,0x0018
